Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 94] Train-acc: 0.956, loss: 0.119 | Test-acc: 0.836 | time: 4.5 | Speed: 487.62 samples/sec | lr: 0.00017798
[Epoch 95] Train-acc: 0.948, loss: 0.130 | Test-acc: 0.842 | time: 4.6 | Speed: 483.24 samples/sec | lr: 0.00017798
[Epoch 96] Train-acc: 0.951, loss: 0.132 | Test-acc: 0.844 | time: 4.5 | Speed: 484.68 samples/sec | lr: 0.00017798
[Epoch 97] Train-acc: 0.951, loss: 0.137 | Test-acc: 0.845 | time: 4.5 | Speed: 493.46 samples/sec | lr: 0.00017798
[Epoch 98] Train-acc: 0.954, loss: 0.119 | Test-acc: 0.835 | time: 4.6 | Speed: 473.51 samples/sec | lr: 0.00017798
[Epoch 99] Train-acc: 0.949, loss: 0.135 | Test-acc: 0.835 | time: 4.5 | Speed: 485.79 samples/sec | lr: 0.00017798
[Epoch 100] Train-acc: 0.952, loss: 0.118 | Test-acc: 0.840 | time: 4.5 | Speed: 485.44 samples/sec | lr: 0.00017798
[Epoch 101] Train-acc: 0.949, loss: 0.131 | Test-acc: 0.836 | time: 4.4 | Speed: 495.45 samples/sec | lr: 0.00017798
[Epoch 102] Train-acc: 0.945, loss: 0.127 | Test-acc: 0.844 | time: 4.7 | Speed: 472.27 samples/sec | lr: 0.00017798
[Epoch 103] Train-acc: 0.953, loss: 0.129 | Test-acc: 0.840 | time: 4.5 | Speed: 491.33 samples/sec | lr: 0.00017798
[Epoch 104] Train-acc: 0.947, loss: 0.133 | Test-acc: 0.844 | time: 4.6 | Speed: 480.05 samples/sec | lr: 0.00017798
[Epoch 105] Train-acc: 0.939, loss: 0.140 | Test-acc: 0.838 | time: 4.4 | Speed: 494.49 samples/sec | lr: 0.00017798
[Epoch 106] Train-acc: 0.950, loss: 0.132 | Test-acc: 0.831 | time: 4.5 | Speed: 486.88 samples/sec | lr: 0.00017798
[Epoch 107] Train-acc: 0.955, loss: 0.125 | Test-acc: 0.833 | time: 4.5 | Speed: 490.76 samples/sec | lr: 0.00017798
[Epoch 108] Train-acc: 0.942, loss: 0.144 | Test-acc: 0.836 | time: 4.4 | Speed: 496.78 samples/sec | lr: 0.00017798
[Epoch 109] Train-acc: 0.955, loss: 0.126 | Test-acc: 0.829 | time: 4.5 | Speed: 484.32 samples/sec | lr: 0.00017798
[Epoch 110] Train-acc: 0.953, loss: 0.123 | Test-acc: 0.831 | time: 4.9 | Speed: 450.56 samples/sec | lr: 0.00013348
[Epoch 111] Train-acc: 0.959, loss: 0.117 | Test-acc: 0.838 | time: 4.6 | Speed: 480.47 samples/sec | lr: 0.00013348
[Epoch 112] Train-acc: 0.954, loss: 0.118 | Test-acc: 0.833 | time: 4.6 | Speed: 479.64 samples/sec | lr: 0.00013348
[Epoch 113] Train-acc: 0.947, loss: 0.127 | Test-acc: 0.836 | time: 4.6 | Speed: 477.29 samples/sec | lr: 0.00013348
[Epoch 114] Train-acc: 0.958, loss: 0.120 | Test-acc: 0.833 | time: 4.6 | Speed: 479.42 samples/sec | lr: 0.00013348
[Epoch 115] Train-acc: 0.956, loss: 0.120 | Test-acc: 0.838 | time: 4.6 | Speed: 475.15 samples/sec | lr: 0.00013348
[Epoch 116] Train-acc: 0.951, loss: 0.129 | Test-acc: 0.836 | time: 4.5 | Speed: 485.80 samples/sec | lr: 0.00013348
[Epoch 117] Train-acc: 0.955, loss: 0.114 | Test-acc: 0.831 | time: 4.8 | Speed: 461.75 samples/sec | lr: 0.00013348
[Epoch 118] Train-acc: 0.955, loss: 0.126 | Test-acc: 0.838 | time: 4.5 | Speed: 490.90 samples/sec | lr: 0.00013348
