Namespace(batch_size=32, input_sz=224, lr=0.001, lr_factor=0.75, model='mobilenet0.5', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 160] Train-acc: 0.738, loss: 0.518 | Test-acc: 0.719 | time: 6.7 | Speed: 327.30 samples/sec | lr: 0.00010011
[Epoch 161] Train-acc: 0.747, loss: 0.510 | Test-acc: 0.710 | time: 6.8 | Speed: 324.77 samples/sec | lr: 0.00010011
[Epoch 162] Train-acc: 0.735, loss: 0.524 | Test-acc: 0.727 | time: 6.7 | Speed: 326.00 samples/sec | lr: 0.00010011
[Epoch 163] Train-acc: 0.757, loss: 0.503 | Test-acc: 0.705 | time: 6.7 | Speed: 330.46 samples/sec | lr: 0.00010011
[Epoch 164] Train-acc: 0.731, loss: 0.536 | Test-acc: 0.712 | time: 6.7 | Speed: 326.51 samples/sec | lr: 0.00010011
[Epoch 165] Train-acc: 0.743, loss: 0.521 | Test-acc: 0.703 | time: 6.9 | Speed: 319.95 samples/sec | lr: 0.00010011
[Epoch 166] Train-acc: 0.752, loss: 0.510 | Test-acc: 0.723 | time: 6.7 | Speed: 330.36 samples/sec | lr: 0.00010011
[Epoch 167] Train-acc: 0.743, loss: 0.518 | Test-acc: 0.727 | time: 6.7 | Speed: 327.75 samples/sec | lr: 0.00010011
[Epoch 168] Train-acc: 0.726, loss: 0.534 | Test-acc: 0.732 | time: 6.7 | Speed: 328.57 samples/sec | lr: 0.00010011
[Epoch 169] Train-acc: 0.732, loss: 0.529 | Test-acc: 0.727 | time: 6.8 | Speed: 324.88 samples/sec | lr: 0.00010011
[Epoch 170] Train-acc: 0.745, loss: 0.525 | Test-acc: 0.730 | time: 6.9 | Speed: 320.05 samples/sec | lr: 0.00010011
[Epoch 171] Train-acc: 0.735, loss: 0.515 | Test-acc: 0.727 | time: 6.7 | Speed: 330.65 samples/sec | lr: 0.00010011
[Epoch 172] Train-acc: 0.742, loss: 0.519 | Test-acc: 0.705 | time: 6.8 | Speed: 322.45 samples/sec | lr: 0.00010011
[Epoch 173] Train-acc: 0.733, loss: 0.520 | Test-acc: 0.710 | time: 6.8 | Speed: 323.91 samples/sec | lr: 0.00010011
[Epoch 174] Train-acc: 0.740, loss: 0.515 | Test-acc: 0.714 | time: 6.7 | Speed: 329.55 samples/sec | lr: 0.00010011
[Epoch 175] Train-acc: 0.740, loss: 0.511 | Test-acc: 0.709 | time: 6.7 | Speed: 326.40 samples/sec | lr: 0.00010011
[Epoch 176] Train-acc: 0.750, loss: 0.513 | Test-acc: 0.687 | time: 7.1 | Speed: 309.97 samples/sec | lr: 0.00010011
[Epoch 177] Train-acc: 0.748, loss: 0.519 | Test-acc: 0.712 | time: 7.7 | Speed: 284.42 samples/sec | lr: 0.00010011
[Epoch 178] Train-acc: 0.733, loss: 0.527 | Test-acc: 0.707 | time: 6.7 | Speed: 326.75 samples/sec | lr: 0.00010011
[Epoch 179] Train-acc: 0.747, loss: 0.510 | Test-acc: 0.671 | time: 6.7 | Speed: 330.60 samples/sec | lr: 0.00010011
[Epoch 180] Train-acc: 0.748, loss: 0.517 | Test-acc: 0.727 | time: 6.7 | Speed: 329.62 samples/sec | lr: 0.00010011
[Epoch 181] Train-acc: 0.755, loss: 0.510 | Test-acc: 0.716 | time: 6.8 | Speed: 321.67 samples/sec | lr: 0.00010011
[Epoch 182] Train-acc: 0.734, loss: 0.527 | Test-acc: 0.719 | time: 6.7 | Speed: 326.04 samples/sec | lr: 0.00010011
[Epoch 183] Train-acc: 0.740, loss: 0.520 | Test-acc: 0.710 | time: 6.7 | Speed: 329.23 samples/sec | lr: 0.00010011
[Epoch 184] Train-acc: 0.746, loss: 0.515 | Test-acc: 0.714 | time: 6.7 | Speed: 327.36 samples/sec | lr: 0.00010011
