Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 118] Train-acc: 0.950, loss: 0.118 | Test-acc: 0.804 | time: 4.6 | Speed: 480.24 samples/sec | lr: 0.00013348
[Epoch 119] Train-acc: 0.959, loss: 0.117 | Test-acc: 0.806 | time: 4.6 | Speed: 479.43 samples/sec | lr: 0.00013348
[Epoch 120] Train-acc: 0.954, loss: 0.123 | Test-acc: 0.804 | time: 4.7 | Speed: 464.66 samples/sec | lr: 0.00013348
[Epoch 121] Train-acc: 0.955, loss: 0.116 | Test-acc: 0.799 | time: 4.7 | Speed: 472.49 samples/sec | lr: 0.00013348
[Epoch 122] Train-acc: 0.954, loss: 0.116 | Test-acc: 0.800 | time: 4.7 | Speed: 465.90 samples/sec | lr: 0.00013348
[Epoch 123] Train-acc: 0.945, loss: 0.135 | Test-acc: 0.795 | time: 4.6 | Speed: 473.86 samples/sec | lr: 0.00013348
[Epoch 124] Train-acc: 0.958, loss: 0.105 | Test-acc: 0.802 | time: 4.7 | Speed: 472.14 samples/sec | lr: 0.00013348
[Epoch 125] Train-acc: 0.958, loss: 0.113 | Test-acc: 0.795 | time: 4.6 | Speed: 476.40 samples/sec | lr: 0.00013348
[Epoch 126] Train-acc: 0.950, loss: 0.131 | Test-acc: 0.800 | time: 4.7 | Speed: 470.56 samples/sec | lr: 0.00013348
[Epoch 127] Train-acc: 0.969, loss: 0.094 | Test-acc: 0.795 | time: 4.8 | Speed: 460.77 samples/sec | lr: 0.00013348
[Epoch 128] Train-acc: 0.954, loss: 0.119 | Test-acc: 0.799 | time: 4.7 | Speed: 473.09 samples/sec | lr: 0.00013348
[Epoch 129] Train-acc: 0.959, loss: 0.116 | Test-acc: 0.795 | time: 4.9 | Speed: 452.30 samples/sec | lr: 0.00013348
[Epoch 130] Train-acc: 0.962, loss: 0.108 | Test-acc: 0.800 | time: 4.7 | Speed: 464.34 samples/sec | lr: 0.00013348
[Epoch 131] Train-acc: 0.963, loss: 0.109 | Test-acc: 0.797 | time: 4.8 | Speed: 461.67 samples/sec | lr: 0.00013348
[Epoch 132] Train-acc: 0.965, loss: 0.101 | Test-acc: 0.802 | time: 4.7 | Speed: 471.13 samples/sec | lr: 0.00013348
[Epoch 133] Train-acc: 0.963, loss: 0.105 | Test-acc: 0.802 | time: 4.6 | Speed: 479.12 samples/sec | lr: 0.00013348
[Epoch 134] Train-acc: 0.958, loss: 0.109 | Test-acc: 0.804 | time: 4.8 | Speed: 456.28 samples/sec | lr: 0.00013348
[Epoch 135] Train-acc: 0.956, loss: 0.109 | Test-acc: 0.802 | time: 4.7 | Speed: 470.50 samples/sec | lr: 0.00013348
[Epoch 136] Train-acc: 0.959, loss: 0.118 | Test-acc: 0.802 | time: 4.7 | Speed: 468.63 samples/sec | lr: 0.00013348
[Epoch 137] Train-acc: 0.956, loss: 0.114 | Test-acc: 0.797 | time: 4.6 | Speed: 476.26 samples/sec | lr: 0.00013348
[Epoch 138] Train-acc: 0.960, loss: 0.100 | Test-acc: 0.799 | time: 4.7 | Speed: 469.98 samples/sec | lr: 0.00013348
[Epoch 139] Train-acc: 0.961, loss: 0.106 | Test-acc: 0.800 | time: 4.6 | Speed: 473.41 samples/sec | lr: 0.00013348
[Epoch 140] Train-acc: 0.962, loss: 0.102 | Test-acc: 0.802 | time: 4.7 | Speed: 471.03 samples/sec | lr: 0.00013348
[Epoch 141] Train-acc: 0.961, loss: 0.106 | Test-acc: 0.804 | time: 4.8 | Speed: 458.15 samples/sec | lr: 0.00013348
[Epoch 142] Train-acc: 0.947, loss: 0.124 | Test-acc: 0.806 | time: 4.6 | Speed: 480.58 samples/sec | lr: 0.00013348
[Epoch 143] Train-acc: 0.954, loss: 0.109 | Test-acc: 0.802 | time: 4.6 | Speed: 475.89 samples/sec | lr: 0.00013348
[Epoch 144] Train-acc: 0.957, loss: 0.106 | Test-acc: 0.808 | time: 4.5 | Speed: 486.92 samples/sec | lr: 0.00013348
[Epoch 145] Train-acc: 0.968, loss: 0.095 | Test-acc: 0.808 | time: 4.6 | Speed: 476.56 samples/sec | lr: 0.00013348
[Epoch 146] Train-acc: 0.961, loss: 0.106 | Test-acc: 0.806 | time: 4.7 | Speed: 471.79 samples/sec | lr: 0.00013348
[Epoch 147] Train-acc: 0.956, loss: 0.117 | Test-acc: 0.800 | time: 4.6 | Speed: 476.90 samples/sec | lr: 0.00013348
[Epoch 148] Train-acc: 0.960, loss: 0.104 | Test-acc: 0.811 | time: 4.8 | Speed: 461.14 samples/sec | lr: 0.00013348
[Epoch 149] Train-acc: 0.963, loss: 0.105 | Test-acc: 0.804 | time: 4.8 | Speed: 457.47 samples/sec | lr: 0.00013348
[Epoch 150] Train-acc: 0.953, loss: 0.110 | Test-acc: 0.804 | time: 4.7 | Speed: 464.36 samples/sec | lr: 0.00010011
[Epoch 151] Train-acc: 0.962, loss: 0.098 | Test-acc: 0.809 | time: 4.8 | Speed: 457.63 samples/sec | lr: 0.00010011
[Epoch 152] Train-acc: 0.963, loss: 0.098 | Test-acc: 0.797 | time: 4.8 | Speed: 457.56 samples/sec | lr: 0.00010011
[Epoch 153] Train-acc: 0.960, loss: 0.100 | Test-acc: 0.800 | time: 4.8 | Speed: 459.79 samples/sec | lr: 0.00010011
[Epoch 154] Train-acc: 0.959, loss: 0.109 | Test-acc: 0.800 | time: 4.6 | Speed: 475.62 samples/sec | lr: 0.00010011
[Epoch 155] Train-acc: 0.961, loss: 0.100 | Test-acc: 0.800 | time: 4.8 | Speed: 459.92 samples/sec | lr: 0.00010011
[Epoch 156] Train-acc: 0.964, loss: 0.096 | Test-acc: 0.806 | time: 4.6 | Speed: 476.98 samples/sec | lr: 0.00010011
[Epoch 157] Train-acc: 0.962, loss: 0.099 | Test-acc: 0.800 | time: 4.7 | Speed: 468.90 samples/sec | lr: 0.00010011
[Epoch 158] Train-acc: 0.962, loss: 0.097 | Test-acc: 0.804 | time: 4.6 | Speed: 477.71 samples/sec | lr: 0.00010011
[Epoch 159] Train-acc: 0.966, loss: 0.085 | Test-acc: 0.795 | time: 4.7 | Speed: 472.87 samples/sec | lr: 0.00010011
[Epoch 160] Train-acc: 0.962, loss: 0.117 | Test-acc: 0.800 | time: 4.8 | Speed: 456.67 samples/sec | lr: 0.00010011
[Epoch 161] Train-acc: 0.966, loss: 0.102 | Test-acc: 0.790 | time: 4.7 | Speed: 470.08 samples/sec | lr: 0.00010011
[Epoch 162] Train-acc: 0.960, loss: 0.101 | Test-acc: 0.791 | time: 4.7 | Speed: 468.77 samples/sec | lr: 0.00010011
[Epoch 163] Train-acc: 0.960, loss: 0.099 | Test-acc: 0.800 | time: 4.7 | Speed: 465.07 samples/sec | lr: 0.00010011
[Epoch 164] Train-acc: 0.955, loss: 0.110 | Test-acc: 0.793 | time: 4.6 | Speed: 473.23 samples/sec | lr: 0.00010011
[Epoch 165] Train-acc: 0.954, loss: 0.113 | Test-acc: 0.799 | time: 4.7 | Speed: 471.67 samples/sec | lr: 0.00010011
[Epoch 166] Train-acc: 0.968, loss: 0.086 | Test-acc: 0.804 | time: 4.6 | Speed: 475.91 samples/sec | lr: 0.00010011
[Epoch 167] Train-acc: 0.961, loss: 0.101 | Test-acc: 0.797 | time: 4.7 | Speed: 466.25 samples/sec | lr: 0.00010011
[Epoch 168] Train-acc: 0.969, loss: 0.088 | Test-acc: 0.799 | time: 4.7 | Speed: 470.78 samples/sec | lr: 0.00010011
[Epoch 169] Train-acc: 0.965, loss: 0.099 | Test-acc: 0.799 | time: 4.8 | Speed: 462.69 samples/sec | lr: 0.00010011
[Epoch 170] Train-acc: 0.962, loss: 0.111 | Test-acc: 0.806 | time: 4.6 | Speed: 475.05 samples/sec | lr: 0.00010011
[Epoch 171] Train-acc: 0.969, loss: 0.085 | Test-acc: 0.795 | time: 4.7 | Speed: 466.71 samples/sec | lr: 0.00010011
